Text,Sentiment
"ngành ra trường làm việc gì",5
"ra trường có thể làm gì",5
"ngành đó sau này ra trường làm gì",5
"cơ hội việc làm hay không",5
"sau khi tốt nghiệp có giữ lại trường làm việc không",5
"Nếu em học xong thời gian học thì em có được học lên nữa hông",5
"ngành này có đào tạo thạc sĩ không",5
"học xong đại học rồi có được học tiếp không",5
"cơ hội việc làm",5
"ra trường rồi có được hỗ trợ việc làm không",5
"trường có giới thiệu việc làm không",5
"sau khi kết thúc khóa học cơ hội việc làm có dễ không",5
"học ngành IT dễ xin việc làm không",5
"Ra trường có dễ xin việc làm không",5
"Khi học xong có dễ xin việc không",5
"Sau khi hoàn thành việc học thì cơ hội tìm được việc làm có cao không",5
"Cơ hội nghề nghiệp của sinh viên học ngành này sau khi ra trường là bao nhiêu",5
"cơ hội tìm việc làm",5
"học xong trường có giới thiệu việc làm không",5
"ngành ra trường làm việc gì",51
"ra trường có thể làm gì",51
"ngành đó sau này ra trường làm gì",51
"ngành này cơ hội việc làm sau khi ra trường ổn không ạ",51
"sau khi ra trường có thể làm những việc gì ạ",51
"những vị trí việc làm khi ra trường",51
"chuẩn đầu ra có được đảm nảo không",51
"ra trường sẽ làm những gì",51
"công việc thế nào",51
"ra trường làm ở đâu",51
"ra trường làm được nghề gì",51
"Khi ra trường sẽ làm nghề gì",51
"Sau này ra trường làm nghề gì",51
"ngành Khoa học máy tính sau khi tốt nghiệp có thể làm việc với những vị trí như thế nào",51
"xin việc làm được vào những nơi nào",52
"Làm ở đâu",52
"Những khu vực nào",52
"những nơi nào có nhu cầu cao về nhân lực đối với ngành này",52
"ra trường làm ở chỗ nào",52
"có thể làm việc ở đâu",52
"làm chỗ nào",52
"làm văn phòng hay ngoài công trường",52
"nơi làm việc",52
"nơi làm việc là ở đâu",52
"con số thống kê sinh viên ra trường là bao nhiêu",53
"tỷ lệ ra trường là bao nhiêu",53
"tỷ lệ tốt nghiệp ra trường là bao nhiêu",53
"mức độ sinh viên tốt nghiệp là bao nhiêu",53
"ngành khoa học máy tính có tỷ lệ sinh viên hoàn thành khóa học là bao nhiêu",53
"mức độ sinh viên ra trường có cao không",53
"tỷ lệ sinh viên tốt nghiệp có cao không",53
"có con số cụ thể nào cho việc sinh viên tốt nghiệp không",53
"số lượng sinh viên tốt nghiệp là bao nhiêu",53
"chuẩn đầu ra có được đảm bảo không",54
"tỷ lệ có việc làm là bao nhiêu",54
"mức độ sinh viên có việc làm sau khi ra trường",54
"sinh viên sau khi ra trường thì tỷ lệ có việc làm là bao nhiêu",54
"số lượng sinh viên có việc làm sau khi tốt nghiệp",54
"tỷ lệ có việc làm sau khi tốt nghiệp là bao nhiêu",54
"tỷ lệ việc làm sau khi ra trường có ổn định không",54
"cơ hội kiếm được việc làm sau khi ra trường là bao nhiêu",54
"sau khi tốt nghiệp thì cơ hội kiếm được việc làm có cao không",54
"ra trường rồi thì tỷ lệ kiếm được việc làm có cao không",54
"cường độ làm việc khi làm công việc này",55
"thời gian làm việc trong ngày là bao lâu",55
"mức độ thời gian làm việc đối với ngành này",55
"thời gian làm việc trong ngày là bao nhiêu",55
"thời gian làm việc có nhiều quá không",55
"có cơ hội đi tham quan mấy công ty hay nhiều chỗ khác không",56
"khi học em có được đến những công ty hay chỗ làm thực tế không",56
"học ngành này có được đi thực tập không",56
"em muốn khi học được tiếp xúc thực tế với công việc thì phải làm sao",56
"khi học ngành này em có được đi đến mấy công ty để thực tập không",56
"những thuận lợi của sinh viên ngành khoa học máy tính khi tìm việc",57
"khi em học ngành này thì có được ưu tiên gì trong lúc tìm việc làm không",57
"sinh viên ngành này thì có ưu thế gì khi đi xin việc",57
"em có thuận lợi gì lúc đi xin việc không khi học ngành này",57
"những thuận lợi nào lúc đi xin việc khi em học ngành này",57
"em sẽ có lợi thế gì lúc đi xin việc nếu em học ngành khoa học máy tính",57
"ngành này có lương hưu không",58
"sau này em ra trường đi làm lúc về già có được lãnh lương hưu không",58
"ngành khoa học máy tính có lương hưu không",58
"nếu đi làm lâu thì lúc nghỉ có được lương hưu không",58
"ngành này lương hưu có cao không",58
"lương hưu của ngành này tầm bao nhiêu",58
"điều kiện thăng tiến là gì",59
"làm sao để được thăng tiến lên cấp cao hơn khi đi làm",59
"điều kiện nào để được thăng tiến cấp bậc trong ngành",59
"làm lâu thì có được lên chức không",59
"muốn được thăng cấp trong ngành này thì cần kinh nghiệm gì",59
"kinh nghiệm để thăng tiến là gì",59
"làm sao để được lên chức nhanh trong công việc",59
"điều kiện để lên chức là gì",59
"muốn được thăng tiến nhanh trong ngành thì phải làm sao",59
"để lên chức thì có cần điều kiện hay kinh nghiệm gì không",59
