Text,Sentiment
"ngành khoa học máy tính xét tuyển theo 4 phương thức 1,2,3 và 6",1
"phương thức 1: Tuyển thẳng, ưu tiên xét tuyển",1
"phương thức 2: Xét tuyển điểm Kỳ thi tốt nghiệp THPT năm 2021",1
"phương thức 3: Xét tuyển điểm học bạ trung học phổ thông",1
"phương thức 6: Xét tuyển thẳng vào học Bồi dưỡng kiến thức",1
"Mỗi thí sinh được quyền đăng ký xét tuyển vào Trường bằng nhiều phương thức khác nhau, mỗi phương thức nộp 01 bộ hồ sơ riêng",1
"Tuyển thẳng và ưu tiên xét tuyển vào đại học chính quy các đối tượng được quy định tại Quy chế tuyển sinh trình độ đại học của Bộ GD&ĐT- Hồ sơ: theo quy định của Bộ GD&ĐT",11
"Xét tuyển dựa vào điểm của Kỳ thi tốt nghiệp THPT năm 2021 theo tổ hợp 3 môn thi ứng với tổ hợp thi A00 hoặc A01",12
"Đối tượng: thí sinh tốt nghiệp THPT từ năm 2021 trở về trước",12
"Điều kiện đăng ký xét tuyển: Thí sinh đạt ngưỡng đảm bảo chất lượng đầu vào năm 2021 do Trường ĐHCT xác định và không có môn nào từ 1,0 điểm trở xuống (thang điểm 10); riêng môn Năng khiếu TDTT phải đạt từ 5,0 điểm trở lên",12
"Xét tuyển dựa vào Điểm trung bình môn 5 học kỳ (5 học kỳ: các học kỳ lớp 10, lớp 11 và  học kỳ 1 lớp 12) của 3 môn trong tổ hợp xét tuyển ứng với ngành do thí sinh đăng ký",13
"Công thức: tổng của điểm trung bình học kỳ các năm lớp 10,11,12 bao gồm cả 2 học kỳ và chia cho 5",13
"Đối tượng: học sinh các huyện nghèo, biên giới và hải đảo; người dân tộc thiểu số rất ít người",16
"Điều kiện đăng ký xét tuyển: tốt nghiệp THPT năm 2021",16
"Hồ sơ: theo quy định của Bộ GD&ĐT",16
"xét tuyển thẳng có 2 hình thức là ưu tiên xét tuyển và học bồi dưỡng",17
"chỉ tiêu tuyển sinh 2021: 120",2
"các khối thi A 0 0: toán lý hóa, A 0 1: toán lý, anh văn",22
"điểm chuẩn năm 2020, điểm học bạ: 24, điểm thi: 21",21
"Khoa học Máy tính là một trong những ngành học quan trọng tại các trường đại học đào tạo về công nghệ thông tin  nói riêng và kỹ thuật nói chung",3
"là ngành học dành cho các bạn đam mê nghiên cứu chuyên sâu về CNTT",3
"khả năng tính toán của hệ thống máy tính, trí thông minh nhân tạo, học máy, đồ hoạ và thị giác máy tính,…",3
"rất phù hợp các nhu cầu về nguồn nhân lực cho cuộc cách mạng công nghệ 4.0",3
"các kiến thức chuyên sâu về: trí tuệ nhân tạo, học máy, máy học ứng dụng, khai thác dữ liệu, học sâu, hệ thống hỏi đáp; đồ hoạ, lập trình trò chơi, xử lý ảnh, thị giác máy tính",3
"Sinh viên sau khi ra trường có khả năng tư duy phát triển từ lý thuyết đến việc xây dựng hệ thống thông minh",3
"có khả năng ứng dụng các kết quả nghiên cứu vào thực tiễn cũng như đủ kiến thức",3
"và kỹ năng cần thiết để thích ứng với sự thay đổi của công nghệ mới trong lĩnh vực khoa học máy tính và CNTT",3
"những ứng dụng điển hình như:",3
"trợ lý ảo(chatbot),hệ thống nhận diện gương mặt, phân loại văn bản, ... và rất nhiều những ứng dụng khác",3
"chương trình đào tạo bao gồm 155 tín chỉ",4
"được chia thành 3 phần: chương trình học đại cương, các môn cơ sở ngành và các môn chuyên ngành",4
"cả 3 phần học đều quan trọng như nhau",4
"Khối kiến thức giáo dục đại cương",41
"Có kiến thức cơ bản về chủ nghĩa Mác – Lênin",41
"đường lối, chính sách của Đảng Cộng sản Việt Nam; tư tưởng Hồ Chí Minh, có sức khỏe, có kiến thức về giáo dục quốc phòng đáp ứng yêu cầu xây dựng và bảo vệ Tổ quốc",41
"có kiến thức cơ bản về pháp luật đại cương, về  khoa học xã hội và nhân văn, khoa học tự nhiên",41
"để đáp ứng yêu cầu tiếp thu kiến thức giáo dục chuyên nghiệp",41
"Có kiến thức cơ bản về tiếng Anh/tiếng Pháp tương đương trình độ A Quốc gia",41
"Nắm vững kiến thức khoa học cơ bản và toán học phục vụ cho ngành khoa học máy tính như: toán giải tích, đại số tuyến tính, toán rời rạc, xác suất thống kê",41
"Khối kiến thức cơ sở ngành",42
"Kiến thức căn bản về toán ứng dụng trong khoa học máy tính",42
"Kiến thức căn bản về tin học lý thuyết: khả năng và giới hạn của máy tính",42
