Text,Sentiment
"có bao nhiêu phương thức xét tuyển",1
"hình thức xét tuyển",1
"để vào được ngành này thì phải thi hay xét học bạ",1
"có bao nhiêu hình thức xét tuyển",1
"phương thức xét tuyển",1
"điều kiện xét tuyển",1
"điều kiện xét tuyển là gì",1
"điều kiện xét tuyển thì như thế nào",1
"điều kiện xét tuyển ra sao",1
"thi đầu vào như thế nào",1
"đăng ký thi như thế nào",1
"làm sao để được học ngành này",1
"làm sao để được học ngành khoa học máy tính",1
"ngành khoa học máy tính xét tuyển như thế nào",1
"ngành khoa học máy tính xét tuyển ra sao",1
"ngành này tuyển sinh ra sao",1
"ngành này tuyển sinh như thế nào",1
"phải thi hay xét học bạ",1
"tỉ lệ chọi",2
"tỷ lệ cạnh tranh vào trường cao hay thấp",2
"chỉ tiêu ngành thế nào",2
"tỷ lệ chọi là bao nhiêu",2
"chỉ tiêu năm trước là bao nhiêu",2
"ngành này yêu cầu điểm sàn và điểm chuẩn cao không",21
"điểm sàn để vào được ngành này là bao nhiêu",21
"điểm trung bình bao nhiêu là đậu",21
"điểm sàn",21
"điểm chuẩn là bao nhiêu",21
"điểm đầu vào năm trước là bao nhiêu",21
"điểm đầu vào có cao không",21
"tổ hơp xét tuyển cho ngành này là gì",22
"cần thi những khối nào",22
"gồm những khối thi nào",22
"khối C và khối D có xét tuyển ngành này không",22
"khối thi của ngành này là gì",22
"ngành này thi những khối nào",22
"ngành ứng dụng được những lĩnh vực nào",3
"đã có những ứng dụng kỹ thuật nào nổi trội",3
"học xong có thể có những kỹ năng nào",3
"Ngành đó đào tạo về những kĩ năng gì",3
"ngành đào tạo những gì",3
"Ngành khoa học máy tính là gì",3
"khoa học máy tính được chia làm mấy mảng",3
"Ngành này học về cái gì",3
"Ngành này học về nội dung gì",3
"Ngành này học những gì",3
"khi học thì sẽ được học những gì",4
"Khi học học những gì",4
"Chương trình có bao nhiêu phần cần tìm hiểu",4
"Có những chuyên ngành nào",4
"Phương thức học ra sao",4
"Học về chuyên môn nào",4
"chương trình đào tạo",4
"chương trình đại cương bao gồm những gì",41
"học đại cương là học những môn nào",41
"có bao nhiêu tín chỉ học đại cương",41
"bao nhiêu môn học đại cương",41
"chương trình đại cương bao gồm những môn nào",41
"những môn cơ sở ngành là gì",42
"khối kiến thức cơ sở ngành học những môn gì",42
"những môn nào là môn cơ sở ngành",42
"môn cơ sở ngành",42
"môn chuyên ngành",43
"chuyên ngành học cái gì",43
"chuyên ngành học những môn nào",43
"những môn nào là chuyên ngành",43
"vào chuyên ngành thì được học cái gì",43
"kỹ năng sau khi ra trường",44
"sau khi ra trường có thể có được những kỹ năng gì",44
"sau khi ra trường sẽ học được những kỹ năng gì",44
"kỹ năng có được khi học ngành này là gì",44
"học xong thì có được kỹ năng gì",44
"học ngành này mấy năm",45
"học ngành này trong bao lâu",45
"Học khoảng thời gian bao lâu",45
"Thời gian cần để hoàn thành được việc đào tạo",45
"Học bao nhiêu học kỳ",45
"năm có bao nhiêu học kỳ",45
"Học mấy năm",45
